DATE,SALES,SELLACV,EQ. Sales,TRD_T,RPI,TPR_CA,TPR_T,RPR,TPR_CO,TDP,PNyear,Decem,MTV,RTV,STV,Cinema,Display,Ytube,Pay TV
2013-03-03,23403.60661,4690900,0.004989151,6078.48511,20.44739949,0,8570.418459,17.45288101,-2.619296467,512,0,0,0,0,0,0,0,0,0
2013-03-10,14833.08855,4690900,0.003162099,0,15.99759427,-273.9612358,7321.260537,13.33139705,0,511,0,0,0,0,0,0,0,0,0
2013-03-17,12703.0465,4690900,0.002708019,1188.111941,20.45365163,-106.1202642,1033.791198,19.2302113,-183.7944772,513,0,0,0,0,0,0,0,0,0
2013-03-24,20212.88185,4690900,0.004308956,1313.347322,19.85591323,-205.6571278,11555.73821,13.94698417,-220.2159332,513,0,0,0,0,0,0,0,0,0
2013-03-31,9672.164507,4690900,0.0020619,0,19.51422055,0,0,18.94159357,0,513,0,0,0,10.23850369,0,0,0,0,0
2013-04-07,33373.02028,4690900,0.007114417,4978.770469,14.77628668,-261.4637358,21298.75083,14.96219013,0,545,0,0,0,8.190802952,0,0,0,0.008922039,0
2013-04-14,9752.759309,4690900,0.002079081,0,17.55533332,-37.46581176,142.8044491,18.81713529,-30.09234748,563,0,0,0,6.552642362,0,0,0,0.015167466,0
2013-04-21,10067.40379,4690900,0.002146156,0,20.82881845,0,84.64821302,20.48072622,0,586,0,0,0,5.242113889,0,0,0,0.031803222,0
2013-04-28,20319.12686,4690900,0.004331605,4394.217022,21.02673572,-75.55668934,7122.129606,20.99036841,0,603,0,0,0,4.193691111,0,0,0,0.043355927,0
2013-05-05,9062.913082,4690900,0.00193202,0,21.09231755,0,18.25170356,21.75626554,-8.319177986,604,0,0,0,3.354952889,0,0,0,0.05144282,0
2013-05-12,17436.11469,4690900,0.003717008,2435.026357,19.48331511,-100.7842881,6856.771218,19.65483526,0,603,0,0,119.7,23.31353671,0,0,0,0.036009974,1.560930571
2013-05-19,11672.52856,4690900,0.002488335,756.5272258,16.65770568,-257.9269846,3980.007212,15.2222056,0,600,0,0,185.86,43.09007874,0,0,0,0.025206982,2.946042039
2013-05-26,12646.17468,4690900,0.002695895,2769.952363,17.77798634,-56.81827847,1537.003046,20.66964899,-4.845813891,601,0,0,253.888,54.17186315,0,0,0,0.017644887,3.941992932
2013-06-02,14916.05498,4690900,0.003179785,2630.232565,20.64678141,0,2924.56974,22.33068839,0,602,0,0,203.1104,43.33749052,0,0,0,0.012351421,2.956494699
2013-06-09,34448.8877,4690900,0.007343769,5574.083362,19.67893551,-241.7332894,20867.18197,17.03677622,-4.937747711,603,0,0,162.48832,34.66999241,0,0,0,0.008645995,2.217371024
2013-06-16,8386.245541,4690900,0.001787769,0,19.4881395,-124.8601275,364.1627381,19.027757,0,602,0,0,129.990656,27.73599393,0,0,0,0.006052196,1.663028268
2013-06-23,9166.253917,4690900,0.00195405,0,20.61818031,-121.8733232,837.8853176,19.80322784,-93.19773029,602,0,0,103.9925248,22.18879515,0,0,0,0.004236537,1.247271201
